,Prediction,Won_Series,Seed_Diff,Pyt_Win_Pct_Diff,eFG..Misc,TOV..Misc,ORB..Misc,FT.FGA.Misc,Opp.eFG..Misc,Opp.TOV..Misc,DRB..Misc,eFG..Misc_._Opponent,TOV..Misc_._Opponent,ORB..Misc_._Opponent,FT.FGA.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Opp.TOV..Misc_._Opponent,DRB..Misc_._Opponent,Opp.FT.FGA.Misc_._Opponent,id
78,True,1,4,0.12195121951219501,0.502,14.0,27.9,0.262,0.45299999999999996,14.4,67.8,0.47600000000000003,14.7,29.5,0.218,0.455,14.7,74.0,0.282,/teams/IND/1998.htmlSemifinals
79,True,1,4,0.158536585365854,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.504,14.2,24.6,0.245,0.49,13.7,74.4,0.266,/teams/CLE/2007.htmlSemifinals
80,True,1,7,0.28048780487804903,0.501,13.5,29.4,0.22699999999999998,0.46299999999999997,13.6,76.2,0.486,14.1,25.9,0.235,0.48700000000000004,12.8,74.1,0.237,/teams/CHI/2011.htmlFirst
81,True,1,3,0.0121951219512195,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.496,12.0,28.8,0.226,0.493,13.3,69.0,0.214,/teams/SEA/2005.htmlFirst
82,True,1,5,0.158536585365854,0.483,15.1,34.4,0.23199999999999998,0.451,16.0,71.4,0.461,12.7,34.0,0.267,0.475,13.5,69.1,0.212,/teams/NYK/1994.htmlFirst
83,True,0,3,0.182926829268293,0.514,14.2,31.2,0.264,0.473,15.0,67.1,0.507,14.4,30.7,0.23800000000000002,0.48700000000000004,13.5,69.5,0.239,/teams/CLE/1989.htmlFirst
84,True,1,2,-0.024390243902439,0.521,14.2,33.0,0.27,0.496,13.9,69.2,0.502,13.5,35.5,0.24100000000000002,0.489,16.4,67.7,0.26,/teams/PHO/1993.htmlFinals
85,True,1,3,0.073170731707317,0.532,14.0,29.0,0.247,0.47100000000000003,12.0,67.6,0.48700000000000004,13.0,31.1,0.268,0.479,16.0,66.1,0.307,/teams/BOS/1987.htmlSemifinals
86,True,1,3,0.0,0.507,15.0,27.6,0.218,0.45799999999999996,13.3,69.7,0.49,13.3,31.3,0.262,0.469,14.6,68.4,0.267,/teams/HOU/1994.htmlFinals
87,True,1,4,0.109756097560976,0.537,12.2,22.1,0.166,0.49,13.2,72.1,0.48700000000000004,13.8,25.4,0.263,0.47100000000000003,12.2,75.9,0.24,/teams/PHO/2006.htmlSemifinals
88,True,1,5,-0.024390243902439,0.498,13.3,31.1,0.23800000000000002,0.46799999999999997,12.2,72.5,0.49700000000000005,14.8,30.0,0.225,0.47,14.3,72.4,0.223,/teams/LAL/2001.htmlFirst
89,True,0,6,0.1,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.46299999999999997,15.9,27.9,0.24100000000000002,0.434,14.9,71.0,0.258,/teams/IND/1999.htmlFinals
90,True,1,7,0.158536585365854,0.512,13.2,32.8,0.271,0.479,12.8,68.5,0.491,15.5,33.1,0.225,0.475,14.7,69.2,0.228,/teams/LAL/1990.htmlFirst
91,True,0,2,-0.0121951219512195,0.47100000000000003,14.1,28.5,0.243,0.45899999999999996,15.7,73.9,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.20199999999999999,/teams/IND/2004.htmlFinals
92,True,1,3,0.0609756097560975,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.517,13.8,25.1,0.18600000000000003,0.47700000000000004,13.6,76.3,0.22399999999999998,/teams/LAC/2014.htmlFirst
93,True,1,7,0.134146341463415,0.534,12.4,27.5,0.222,0.478,12.0,68.3,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,/teams/PHO/2005.htmlFirst
94,True,1,7,0.158536585365854,0.536,16.1,33.7,0.23600000000000002,0.48700000000000004,14.3,66.6,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266,/teams/LAL/1984.htmlFirst
95,True,1,7,0.28048780487804903,0.528,14.0,34.1,0.278,0.47600000000000003,13.8,66.3,0.478,11.8,32.2,0.248,0.503,15.4,67.0,0.307,/teams/LAL/1987.htmlFirst
96,True,1,3,0.17073170731707302,0.473,13.3,35.7,0.21899999999999997,0.457,14.7,70.6,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.22399999999999998,/teams/CHI/1998.htmlSemifinals
97,True,1,4,0.21951219512195103,0.479,14.1,33.1,0.249,0.444,14.9,72.1,0.499,13.8,31.3,0.254,0.48700000000000004,12.6,65.0,0.201,/teams/NYK/1993.htmlSemifinals
98,True,1,7,0.25609756097561,0.47100000000000003,14.1,28.5,0.243,0.45899999999999996,15.7,73.9,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,/teams/IND/2004.htmlFirst
99,True,0,4,0.0609756097560975,0.512,15.4,36.2,0.23399999999999999,0.504,16.7,65.1,0.507,14.4,30.7,0.23800000000000002,0.48700000000000004,13.5,69.5,0.239,/teams/NYK/1989.htmlSemifinals
100,True,1,7,0.28048780487804903,0.527,13.5,21.4,0.201,0.49200000000000005,14.9,73.4,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,/teams/ATL/2015.htmlFirst
101,True,1,4,0.109756097560976,0.537,13.5,22.7,0.188,0.48200000000000004,12.8,76.4,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.19399999999999998,/teams/SAS/2014.htmlSemifinals
102,True,1,3,0.182926829268293,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.47700000000000004,12.7,27.6,0.255,0.485,13.3,71.8,0.213,/teams/DET/2004.htmlFirst
103,True,1,7,0.26829268292682895,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,/teams/GSW/2015.htmlFirst
104,True,1,2,-0.0609756097560976,0.49700000000000005,15.1,28.8,0.253,0.45299999999999996,14.2,71.3,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,/teams/SAS/2003.htmlFinals
105,True,1,7,0.26,0.479,14.6,30.4,0.259,0.423,13.8,69.5,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276,/teams/SAS/1999.htmlFirst
106,True,1,4,-0.024390243902439,0.488,12.0,28.3,0.237,0.47700000000000004,14.3,70.9,0.493,14.7,28.6,0.22899999999999998,0.473,16.2,74.3,0.252,/teams/DET/2007.htmlSemifinals
107,True,1,4,0.12195121951219501,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,/teams/SAS/2001.htmlSemifinals
108,True,1,7,0.304878048780488,0.517,13.1,36.9,0.217,0.48200000000000004,16.1,71.1,0.501,16.0,30.1,0.245,0.469,14.8,71.8,0.298,/teams/CHI/1996.htmlFirst
109,True,1,3,0.17073170731707302,0.509,12.8,30.8,0.272,0.47600000000000003,13.5,67.7,0.48200000000000004,11.8,29.6,0.22399999999999998,0.505,15.6,68.9,0.264,/teams/PHO/1989.htmlFirst
110,True,1,3,0.158536585365854,0.49200000000000005,14.5,34.7,0.275,0.47100000000000003,13.3,69.9,0.457,13.3,34.5,0.262,0.48,14.6,63.4,0.222,/teams/DET/1987.htmlFirst
111,True,1,3,0.0975609756097561,0.49,13.3,31.3,0.262,0.469,14.6,68.4,0.478,15.3,32.2,0.256,0.45299999999999996,13.4,69.6,0.252,/teams/UTA/1994.htmlSemifinals
112,True,1,3,0.23170731707317102,0.519,12.5,27.7,0.23600000000000002,0.46799999999999997,13.5,74.6,0.504,12.5,26.0,0.23800000000000002,0.494,13.2,71.6,0.21,/teams/CLE/2009.htmlSemifinals
113,True,1,7,0.28048780487804903,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26,/teams/LAL/1986.htmlFirst
114,True,0,3,0.0,0.469,13.7,24.3,0.22699999999999998,0.46,15.3,72.7,0.457,13.7,29.8,0.24600000000000002,0.456,14.1,74.5,0.222,/teams/MIA/2001.htmlFirst
115,True,1,7,0.25609756097561,0.495,13.6,35.6,0.253,0.47100000000000003,14.3,69.9,0.465,12.0,32.7,0.25,0.493,13.8,64.0,0.187,/teams/POR/1992.htmlFirst
116,True,1,3,0.182926829268293,0.47100000000000003,14.1,28.5,0.243,0.45899999999999996,15.7,73.9,0.46299999999999997,13.5,27.4,0.22699999999999998,0.46299999999999997,14.5,73.4,0.26,/teams/IND/2004.htmlSemifinals
117,True,1,2,0.0853658536585366,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.516,13.4,31.9,0.235,0.508,15.2,68.1,0.262,/teams/DET/1990.htmlFinals
118,True,1,7,0.292682926829268,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.489,15.5,30.1,0.24100000000000002,0.49200000000000005,13.7,69.7,0.239,/teams/BOS/1984.htmlFirst
119,True,1,7,0.329268292682927,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.24100000000000002,/teams/GSW/2017.htmlFirst
120,True,1,5,0.17073170731707302,0.502,12.9,32.0,0.281,0.495,13.3,68.4,0.485,13.5,31.5,0.235,0.49,14.0,67.7,0.20199999999999999,/teams/PHI/1990.htmlFirst
121,True,1,5,0.0609756097560975,0.495,14.5,28.2,0.20800000000000002,0.45299999999999996,13.3,72.9,0.49200000000000005,14.3,26.8,0.295,0.499,15.4,71.6,0.249,/teams/MIA/2000.htmlFirst
122,True,1,4,0.146341463414634,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.501,14.8,34.2,0.25,0.48200000000000004,13.3,66.0,0.215,/teams/DET/1990.htmlSemifinals
123,True,1,3,0.0121951219512195,0.504,12.6,23.4,0.21,0.47700000000000004,12.8,77.1,0.551,13.4,22.4,0.228,0.488,11.8,70.9,0.191,/teams/SAS/2008.htmlFirst
124,True,1,7,0.0975609756097562,0.48,13.6,34.6,0.221,0.475,16.0,67.7,0.488,14.3,35.3,0.253,0.479,14.5,69.1,0.284,/teams/ATL/1994.htmlFirst
125,True,1,4,0.158536585365854,0.527,13.5,21.4,0.201,0.49200000000000005,14.9,73.4,0.499,14.0,24.9,0.192,0.48100000000000004,12.9,77.3,0.21,/teams/ATL/2015.htmlSemifinals
126,True,1,3,0.26,0.485,16.0,30.0,0.32,0.441,14.4,70.4,0.479,14.7,30.6,0.205,0.47100000000000003,13.7,67.7,0.17600000000000002,/teams/UTA/1999.htmlFirst
127,True,1,7,0.28048780487804903,0.515,13.8,32.8,0.254,0.48100000000000004,12.6,70.4,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265,/teams/BOS/1985.htmlFirst
128,True,1,3,0.0853658536585366,0.508,15.1,28.6,0.243,0.46799999999999997,14.4,70.8,0.47200000000000003,14.2,31.8,0.24100000000000002,0.493,15.0,72.4,0.22399999999999998,/teams/NYK/1995.htmlFirst
129,True,1,7,0.195121951219512,0.541,14.1,29.8,0.267,0.489,12.5,68.5,0.47700000000000004,15.5,36.0,0.242,0.486,17.0,65.5,0.324,/teams/BOS/1988.htmlFirst
130,True,1,5,0.024390243902439,0.512,11.4,27.0,0.193,0.501,13.5,75.4,0.502,12.3,26.7,0.259,0.474,11.7,75.0,0.252,/teams/NOH/2008.htmlFirst
131,True,1,5,0.24390243902439002,0.495,11.4,29.4,0.23,0.47,13.4,73.7,0.48200000000000004,13.4,31.8,0.22699999999999998,0.504,15.1,72.0,0.205,/teams/DET/2008.htmlFirst
132,True,1,3,0.048780487804878,0.501,17.0,30.5,0.255,0.46299999999999997,15.4,73.4,0.518,14.3,28.7,0.243,0.496,13.3,68.1,0.204,/teams/NYK/1997.htmlFirst
