"Won_Series","Seed_Diff","Pyt_Win_Pct_Diff","eFG..Misc","TOV..Misc","ORB..Misc","FT.FGA.Misc","Opp.eFG..Misc","Opp.TOV..Misc","DRB..Misc","eFG..Misc_._Opponent","TOV..Misc_._Opponent","ORB..Misc_._Opponent","FT.FGA.Misc_._Opponent","Opp.eFG..Misc_._Opponent","Opp.TOV..Misc_._Opponent","DRB..Misc_._Opponent","Opp.FT.FGA.Misc_._Opponent","id"
1,4,0.170731707317073,0.531,14,20.5,0.204,0.48,13.7,74.9,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211,"/teams/SAS/2013.htmlSemifinals"
1,2,0.114122252333634,0.552,13.7,22.2,0.224,0.487,14.8,73,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,"/teams/MIA/2013.htmlFinals"
1,3,0.048780487804878,0.531,14,20.5,0.204,0.48,13.7,74.9,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209,"/teams/SAS/2013.htmlFinals"
0,7,0.121212121212121,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,"/teams/CHI/2012.htmlFirst"
1,5,0.0909090909090909,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,"/teams/MIA/2012.htmlFirst"
1,3,0.0909090909090909,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,"/teams/IND/2012.htmlFirst"
1,1,-0.0303030303030303,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,"/teams/BOS/2012.htmlFirst"
1,7,0.212121212121212,0.528,12.8,25.1,0.195,0.489,12.9,76,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,"/teams/SAS/2012.htmlFirst"
1,5,0.166666666666667,0.516,15.3,27.8,0.269,0.465,13,72.1,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,"/teams/OKC/2012.htmlFirst"
1,3,-0.0454545454545455,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,"/teams/LAL/2012.htmlFirst"
0,1,-0.0151515151515151,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,"/teams/MEM/2012.htmlFirst"
1,1,0.0909090909090909,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,"/teams/MIA/2012.htmlSemifinals"
1,4,-0.0606060606060606,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,"/teams/BOS/2012.htmlSemifinals"
1,4,0.136363636363636,0.528,12.8,25.1,0.195,0.489,12.9,76,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,"/teams/SAS/2012.htmlSemifinals"
1,1,0.151515151515152,0.516,15.3,27.8,0.269,0.465,13,72.1,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,"/teams/OKC/2012.htmlSemifinals"
0,1,0.0303030303030303,0.528,12.8,25.1,0.195,0.489,12.9,76,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,"/teams/SAS/2012.htmlFinals"
1,2,0.121212121212121,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,"/teams/MIA/2012.htmlFinals"
1,7,0.280487804878049,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,"/teams/CHI/2011.htmlFirst"
1,5,0.195121951219512,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,"/teams/MIA/2011.htmlFirst"
1,3,0.170731707317073,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,"/teams/BOS/2011.htmlFirst"
0,1,0.207317073170732,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,"/teams/ORL/2011.htmlFirst"
0,7,0.0975609756097562,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,"/teams/SAS/2011.htmlFirst"
1,5,0.170731707317073,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,"/teams/LAL/2011.htmlFirst"
1,3,0.0853658536585366,0.525,13.6,24.1,0.222,0.488,13,74.8,0.486,12.6,29.5,0.224,0.51,15.4,72,0.231,"/teams/DAL/2011.htmlFirst"
1,1,-0.0365853658536586,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,"/teams/OKC/2011.htmlFirst"
1,4,0.268292682926829,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,"/teams/CHI/2011.htmlSemifinals"
1,1,0.0487804878048781,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,"/teams/MIA/2011.htmlSemifinals"
0,1,0.0609756097560975,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.525,13.6,24.1,0.222,0.488,13,74.8,0.206,"/teams/LAL/2011.htmlSemifinals"
1,4,0.0365853658536586,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,"/teams/OKC/2011.htmlSemifinals"
0,1,0,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,"/teams/CHI/2011.htmlFinals"
1,1,0.024390243902439,0.525,13.6,24.1,0.222,0.488,13,74.8,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,"/teams/DAL/2011.htmlFinals"
1,7,0.280487804878049,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,"/teams/CLE/2010.htmlFirst"
1,5,0.195121951219512,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,"/teams/ORL/2010.htmlFirst"
1,3,0.0975609756097561,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,"/teams/ATL/2010.htmlFirst"
1,1,0.0487804878048781,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,"/teams/BOS/2010.htmlFirst"
1,7,0.0365853658536586,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.494,13.9,28.6,0.268,0.483,14,73.6,0.229,"/teams/LAL/2010.htmlFirst"
0,5,-0.0731707317073171,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,"/teams/DAL/2010.htmlFirst"
