"Won_Series","BLK.Opp_Per_Poss","ORtg.Misc","eFG..Misc","BLK.Per_Poss_._Opponent","AST.Opp_Per_Poss_._Opponent","BLK.Opp_Per_Poss_._Opponent","DRtg.Misc_._Opponent","Opp.eFG..Misc_._Opponent","Playoff.Minutes","Balance","Seed_Diff","Pyt_Win_Pct_Diff","id"
0,4.1,110.3,0.526,6.1,22.1,4.7,105.6,0.484,36890,11,1,0.0975609756097561,"/teams/SAS/2016.htmlSemifinals"
1,4.7,110.9,0.524,5.9,23.3,5.8,105.2,0.498,22193,7,1,0.048780487804878,"/teams/CLE/2016.htmlFinals"
1,4.1,114.5,0.563,6.1,22.1,4.7,105.6,0.484,14360,8,2,0.0731707317073171,"/teams/GSW/2016.htmlFinals"
1,5.2,108.9,0.527,4.4,25.2,4.8,107.4,0.506,9158,9,7,0.280487804878049,"/teams/ATL/2015.htmlFirst"
1,4.8,111.1,0.52,3.7,22.6,5.4,104.5,0.494,21867,7,5,0.146341463414634,"/teams/CLE/2015.htmlFirst"
1,5.8,107.5,0.489,5.2,23.4,5,102.2,0.487,12546,6,3,0.0975609756097561,"/teams/CHI/2015.htmlFirst"
0,5.4,111,0.508,4.9,21,4.5,103,0.481,4365,7,1,0.073170731707317,"/teams/TOR/2015.htmlFirst"
1,3.6,111.6,0.54,6.8,22.6,6.3,107.3,0.496,8052,10,7,0.268292682926829,"/teams/GSW/2015.htmlFirst"
1,5.5,107,0.512,4.7,23.2,4,106.4,0.503,12385,9,5,0.0121951219512195,"/teams/HOU/2015.htmlFirst"
1,3.1,112.4,0.533,5.7,21.8,4.6,102,0.484,15189,5,3,0,"/teams/LAC/2015.htmlFirst"
0,3.8,108.2,0.508,4.5,21.7,5.6,102.2,0.492,6291,9,1,0.0365853658536586,"/teams/POR/2015.htmlFirst"
1,4.8,111.1,0.52,6.2,21.6,5.8,104.3,0.473,21867,7,1,0.0365853658536586,"/teams/CLE/2015.htmlSemifinals"
1,5.2,108.9,0.527,4.9,21,4.5,103,0.481,9158,9,4,0.158536585365854,"/teams/ATL/2015.htmlSemifinals"
1,5.5,107,0.512,5.3,24.5,3.1,105.5,0.493,12385,9,1,-0.0975609756097561,"/teams/HOU/2015.htmlSemifinals"
1,3.6,111.6,0.54,4.5,21.7,5.6,102.2,0.492,8052,10,4,0.182926829268293,"/teams/GSW/2015.htmlSemifinals"
0,5.2,108.9,0.527,4.5,25.9,4.8,106.3,0.502,9158,9,1,0.0365853658536586,"/teams/ATL/2015.htmlFinals"
1,3.6,111.6,0.54,5.1,22,5.5,103.4,0.486,8052,10,1,0.182926829268293,"/teams/GSW/2015.htmlFinals"
1,5,104.1,0.49,4.2,24.3,4.5,106.4,0.51,11893,7,7,0.170731707317073,"/teams/IND/2014.htmlFirst"
1,3.4,110.9,0.554,5.5,22.4,5.4,103.8,0.491,34822,6,5,0.170731707317073,"/teams/MIA/2014.htmlFirst"
0,4.6,108.8,0.498,4.1,22.7,4.4,107.7,0.509,3291,6,3,0.146341463414634,"/teams/TOR/2014.htmlFirst"
0,6.5,102.5,0.471,4.8,23.4,4.1,104.6,0.504,13709,6,1,0.0243902439024389,"/teams/CHI/2014.htmlFirst"
1,4.8,110.5,0.537,4.6,23.4,3.7,108.7,0.515,26484,11,7,0.158536585365854,"/teams/SAS/2014.htmlFirst"
1,3.8,110.5,0.52,5.1,22,5.5,104.6,0.497,19740,9,5,0.146341463414634,"/teams/OKC/2014.htmlFirst"
1,3.6,112.1,0.526,5.1,21.2,4.3,102.6,0.477,17261,6,3,0.0609756097560975,"/teams/LAC/2014.htmlFirst"
0,5.8,111,0.531,4.9,21.3,3.9,107.4,0.488,6827,7,1,0.0121951219512195,"/teams/HOU/2014.htmlFirst"
1,5,104.1,0.49,4.8,23.4,4.1,104.6,0.504,11893,7,4,0.109756097560976,"/teams/IND/2014.htmlSemifinals"
1,3.4,110.9,0.554,4.1,22.7,4.4,107.7,0.509,34822,6,4,0.195121951219512,"/teams/MIA/2014.htmlSemifinals"
1,4.8,110.5,0.537,4.9,21.3,3.9,107.4,0.488,26484,11,4,0.109756097560976,"/teams/SAS/2014.htmlSemifinals"
1,3.8,110.5,0.52,5,24.2,3.6,104.8,0.484,19740,9,1,-0.0121951219512195,"/teams/OKC/2014.htmlSemifinals"
0,5,104.1,0.49,4.9,23.2,3.4,105.8,0.511,11893,7,1,0,"/teams/IND/2014.htmlFinals"
1,4.8,110.5,0.537,6.4,22.7,3.8,103.9,0.488,26484,11,1,0.0365853658536586,"/teams/SAS/2014.htmlFinals"
1,3.5,112.3,0.552,7,24.2,4.6,105.2,0.492,30463,9,7,0.304878048780488,"/teams/MIA/2013.htmlFirst"
1,4.4,111.1,0.515,4.8,23.1,5,103.3,0.482,28419,10,5,0.152514302920807,"/teams/NYK/2013.htmlFirst"
1,6.2,104.3,0.479,4.8,23.8,4.6,104.4,0.496,4748,8,3,0.129780186690756,"/teams/IND/2013.htmlFirst"
0,5.3,108.2,0.498,5.6,20.9,6.5,103.2,0.477,8762,6,1,0.0487804878048781,"/teams/BRK/2013.htmlFirst"
1,4.2,112.4,0.527,4.5,23.5,6.3,106.1,0.502,17114,7,7,0.170731707317073,"/teams/OKC/2013.htmlFirst"
1,5.2,108.3,0.531,5.5,24.7,5.1,106.6,0.496,23390,10,5,0.170731707317073,"/teams/SAS/2013.htmlFirst"
0,7,110.4,0.515,4.4,24.8,5.1,105.5,0.486,4705,7,3,0.134146341463415,"/teams/DEN/2013.htmlFirst"
0,4.5,110.6,0.526,6,21.9,6.2,100.3,0.475,16481,8,1,0.0609756097560975,"/teams/LAC/2013.htmlFirst"
1,3.5,112.3,0.552,5.6,20.9,6.5,103.2,0.477,30463,9,4,0.24390243902439,"/teams/MIA/2013.htmlSemifinals"
0,4.4,111.1,0.515,7,21.1,6.2,99.8,0.453,28419,10,1,0.00436615477265889,"/teams/NYK/2013.htmlSemifinals"
0,4.2,112.4,0.527,6,21.9,6.2,100.3,0.475,17114,7,4,0.121951219512195,"/teams/OKC/2013.htmlSemifinals"
1,5.2,108.3,0.531,4.4,24.8,5.1,105.5,0.486,23390,10,4,0.170731707317073,"/teams/SAS/2013.htmlSemifinals"
1,3.5,112.3,0.552,7,21.1,6.2,99.8,0.453,30463,9,2,0.114122252333634,"/teams/MIA/2013.htmlFinals"
1,5.2,108.3,0.531,6,21.9,6.2,100.3,0.475,23390,10,3,0.048780487804878,"/teams/SAS/2013.htmlFinals"
0,5.8,107.4,0.49,5.7,21.7,5.3,99.2,0.46,13954,10,7,0.121212121212121,"/teams/CHI/2012.htmlFirst"
1,4.6,106.6,0.505,4.5,20.2,5.4,101,0.485,17345,10,5,0.0909090909090909,"/teams/MIA/2012.htmlFirst"
1,6.6,106.7,0.474,4.6,22.8,4.6,104.1,0.488,5615,7,3,0.0909090909090909,"/teams/IND/2012.htmlFirst"
1,5.1,101,0.496,5,22.3,5.2,101.2,0.48,21634,7,1,-0.0303030303030303,"/teams/BOS/2012.htmlFirst"
1,5.3,110.9,0.528,6.3,22,6.1,106.1,0.493,23654,11,7,0.212121212121212,"/teams/SAS/2012.htmlFirst"
1,5.2,109.8,0.516,5.5,22.1,4.3,102.3,0.479,14146,5,5,0.166666666666667,"/teams/OKC/2012.htmlFirst"
1,5,106,0.491,5.2,24.3,7,106.2,0.508,24586,5,3,-0.0454545454545455,"/teams/LAL/2012.htmlFirst"
0,6,104,0.473,5.3,23.1,5,105.7,0.492,4566,6,1,-0.0151515151515151,"/teams/MEM/2012.htmlFirst"
1,4.6,106.6,0.505,5.9,21.4,6.6,103.1,0.476,17345,10,1,0.0909090909090909,"/teams/MIA/2012.htmlSemifinals"
1,5.1,101,0.496,5.7,21.7,5.3,99.2,0.46,21634,7,4,-0.0606060606060606,"/teams/BOS/2012.htmlSemifinals"
1,5.3,110.9,0.528,5.3,23.1,5,105.7,0.492,23654,11,4,0.136363636363636,"/teams/SAS/2012.htmlSemifinals"
1,5.2,109.8,0.516,5.8,23.9,5,104.4,0.476,14146,5,1,0.151515151515152,"/teams/OKC/2012.htmlSemifinals"
0,5.3,110.9,0.528,8.7,21.2,5.2,103.2,0.465,23654,11,1,0.0303030303030303,"/teams/SAS/2012.htmlFinals"
1,4.6,106.6,0.505,6,20.5,5.1,98.2,0.452,17345,10,2,0.121212121212121,"/teams/MIA/2012.htmlFinals"
1,6.4,108.3,0.501,5.8,21.4,6,106,0.487,7870,10,7,0.280487804878049,"/teams/CHI/2011.htmlFirst"
1,3.3,111.7,0.524,4.7,23.1,4.9,105,0.487,21091,9,5,0.195121951219512,"/teams/MIA/2011.htmlFirst"
1,4.9,106.2,0.519,6,21.4,4.6,110.1,0.511,31818,10,3,0.170731707317073,"/teams/BOS/2011.htmlFirst"
0,4.1,107.9,0.521,4.6,23.8,4.7,107,0.495,17994,9,1,0.207317073170732,"/teams/ORL/2011.htmlFirst"
0,4.9,111.8,0.527,5.8,22.6,6.6,105.1,0.502,21801,9,7,0.0975609756097562,"/teams/SAS/2011.htmlFirst"
1,5,111,0.502,4.9,23.7,5.4,105.2,0.501,29049,5,5,0.170731707317073,"/teams/LAL/2011.htmlFirst"
1,4,109.7,0.525,4.9,21.7,4.7,107.1,0.51,21614,6,3,0.0853658536585366,"/teams/DAL/2011.htmlFirst"
1,4.6,111.2,0.501,4.5,23.2,6.2,107.3,0.5,5854,7,1,-0.0365853658536586,"/teams/OKC/2011.htmlFirst"
